task_id,level,FDK,CLH,CLO,SYS,GND,IGE,OGE,SND,VIB,MTN,VIS,NAV,ATM,OST
he-3.9,T,G,R,R,R,R,R,R,N,N,N,G,R,R,R
he-3.10,TP,S,R,G,S,N,N,G,N,N,N,R,N,G,R
he-3.10,T,G,G,G,R,N,N,G,N,N,N,G,N,G,R
he-3.11,TP,S,N,G,S,N,N,G,N,N,N,G,N,R,R
he-3.11,T,G,N,G,S,N,N,G,N,N,N,G,N,R,R
he-3.12,TP,S,N,G,S,N,N,G,N,N,N,N,R,G,G
he-3.12,T,G,N,G,S,N,N,G,N,N,N,N,R,G,G
he-3.13,TP,S,R,R,S,R,R,R,N,G,G,R,N,G,R
he-3.13,T,G,R,R,S,R,R,R,N,G,G,R,N,G,R
he-3.14,TP,S,N,G,S,N,N,G,N,N,N,N,N,G,N
he-3.14,T,G,N,G,S,N,N,G,N,N,N,N,N,G,N
he-3.15,TP,S,N,G,S,N,N,G,N,N,N,N,S,G,G
he-3.15,T,G,N,G,S,N,N,G,N,N,N,N,R,G,G
he-4.1,TP,S,S,S,S,S,S,S,N,N,N,R,N,G,R
he-4.1,T,S,R,R,S,R,R,R,N,N,N,R,N,G,R
he-4.2,TP,S,N,G,S,N,N,G,N,N,N,R,N,G,R
he-4.2,T,S,N,G,S,N,N,G,N,N,N,R,N,G,R
he-4.3,TP,S,S,S,S,N,S,S,R,R,R,R,G,G,R
he-4.3,T,R,R,R,S,N,G,G,G,G,G,G,G,G,R
he-4.4,TP,R,N,G,R,N,N,G,N,N,N,N,N,G,N
he-4.4,T,G,N,G,G,N,N,G,N,N,N,N,N,G,N
he-4.5,TP,R,S,S,S,R,S,S,N,G,S,S,N,G,R
he-4.5,T,G,R,R,R,R,R,R,N,G,R,R,N,G,R
he-4.5.1,TP,R,S,S,S,R,S,S,G,R,S,S,N,G,R
he-4.5.1,T,G,R,R,R,R,R,R,N,G,R,R,N,G,R
he-4.6,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-
he-4.6,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
he-4.7,TP,S,S,S,S,R,R,R,G,G,G,R,N,G,G
he-4.7,T,R,R,R,R,R,R,R,G,G,G,G,N,G,G
he-4.8,TP,S,R,G,S,N,N,G,N,N,N,R,N,G,N
he-4.8,T,G,G,G,R,N,N,G,N,N,N,N,N,G,N
